ChCode,       Amount OB       ,        Principal Amount Due        
01PDFL2607-107," 850,920.28 "," 30,276.23 "
01PDFL2607-110," 713,365.40 "," 24,266.33 "
01PDFL2607-112," 1,244,530.45 "," 46,435.67 "
01PDFL2607-113," 732,605.76 "," 31,695.22 "
01PDFL2607-114," 925,850.67 "," 32,312.73 "
01PDFL2607-119," 1,012,912.39 "," 43,274.33 "
01PDFL2607-120," 1,369,709.36 "," 52,133.37 "
01PDFL2607-122," 1,498,695.32 "," 53,380.33 "
01PDFL2607-125," 704,801.83 "," 20,171.22 "
01PDFL2607-127," 800,114.65 "," 26,540.70 "
01PDFL2607-128," 617,354.64 "," 50,738.43 "
01PDFL2607-129," 777,061.43 "," 27,240.93 "
01PDFL2607-13," 866,754.66 "," 33,186.55 "
01PDFL2607-130," 610,108.04 "," 23,570.92 "
01PDFL2607-131," 841,924.83 "," 24,642.63 "
01PDFL2607-133," 1,031,261.35 "," 38,842.46 "
01PDFL2607-135," 1,037,726.08 "," 35,040.07 "
01PDFL2607-136," 832,517.29 "," 24,685.00 "
01PDFL2607-137," 964,273.45 "," 27,285.88 "
01PDFL2607-138," 608,915.93 "," 24,626.09 "
01PDFL2607-140," 1,343,026.35 "," 42,918.04 "
01PDFL2607-141," 836,267.04 "," 25,607.61 "
01PDFL2607-142," 965,920.10 "," 33,912.33 "
01PDFL2607-143," 447,836.85 "," 16,928.96 "
01PDFL2607-146," 1,596,654.23 "," 43,765.41 "
01PDFL2607-15," 720,708.42 "," 27,321.45 "
01PDFL2607-17," 494,967.06 "," 54,868.05 "
01PDFL2607-18," 602,878.71 "," 24,036.98 "
01PDFL2607-19," 844,406.43 "," 36,283.38 "
01PDFL2607-2," 1,126,227.94 "," 32,223.15 "
01PDFL2607-21," 883,623.25 "," 30,961.83 "
01PDFL2607-22," 1,605,021.83 "," 52,612.48 "
01PDFL2607-27," 948,824.31 "," 29,988.71 "
01PDFL2607-28," 983,099.52 "," 38,746.62 "
01PDFL2607-3," 1,330,467.16 "," 41,271.78 "
01PDFL2607-34," 978,235.24 "," 35,187.75 "
01PDFL2607-35," 366,590.62 "," 12,473.50 "
01PDFL2607-36," 856,831.32 "," 26,860.80 "
01PDFL2607-37," 1,020,331.45 "," 31,655.47 "
01PDFL2607-38," 1,090,408.73 "," 33,203.19 "
01PDFL2607-41," 877,305.61 "," 30,627.16 "
01PDFL2607-43," 752,628.58 "," 32,827.69 "
01PDFL2607-45," 1,171,135.04 "," 38,183.41 "
01PDFL2607-46," 1,012,716.19 "," 54,761.38 "
01PDFL2607-47," 974,851.59 "," 43,370.66 "
01PDFL2607-48," 922,753.06 "," 32,496.19 "
01PDFL2607-49," 1,655,442.97 "," 55,271.71 "
01PDFL2607-50," 1,515,722.57 "," 44,082.58 "
01PDFL2607-51," 2,831,287.33 "," 108,956.08 "
01PDFL2607-52," 1,440,263.90 "," 51,350.29 "
01PDFL2607-53," 1,019,421.89 "," 32,638.81 "
01PDFL2607-54," 367,197.04 "," 16,831.64 "
01PDFL2607-57," 1,064,703.64 "," 33,485.53 "
01PDFL2607-58," 898,539.30 "," 35,543.84 "
01PDFL2607-59," 631,686.01 "," 21,984.70 "
01PDFL2607-6," 91,313.93 "," 26,334.80 "
01PDFL2607-60," 1,120,751.04 "," 33,404.59 "
01PDFL2607-61," 755,135.17 "," 37,711.27 "
01PDFL2607-63," 781,292.96 "," 29,852.35 "
01PDFL2607-64," 640,794.80 "," 32,158.57 "
01PDFL2607-65," 701,838.74 "," 40,307.10 "
01PDFL2607-66," 787,972.93 "," 24,347.79 "
01PDFL2607-67," 768,024.50 "," 29,137.09 "
01PDFL2607-7," 762,671.81 "," 22,172.20 "
01PDFL2607-72," 1,204,412.17 "," 41,597.71 "
01PDFL2607-73," 1,097,071.77 "," 40,231.55 "
01PDFL2607-74," 271,300.71 "," 12,806.37 "
